,Active Learning Iteration,Labeled Database Size,Unlabeled Database Size,Precision (Tag),Recall (Tag),F1 Score (Tag),Hamming Loss,Accuracy (Tag List)
0,1,1771,15935,0.6267743959836837,0.47055956489906914,0.5064507824219151,0.0421306150832351,0.23376215877000314
1,2,2813,14896,0.6390843179377014,0.47626096491228065,0.5150195322489898,0.04025749702441432,0.2480531686358754
2,3,3331,14386,0.6445097085129061,0.48470040316974833,0.5222635984279249,0.03931374722421573,0.2557347421103851
3,4,3556,14163,0.6495316434841958,0.48777918990797614,0.5261421163348721,0.03888892069362309,0.25997316952623034
4,5,3658,14062,0.651429384155881,0.4885874460721566,0.5274495826871023,0.03872810372597032,0.26027592092163276
5,6,3721,14000,0.6524452380952381,0.4899035714285714,0.5289271541950114,0.03855019305019305,0.2626428571428571
6,7,3752,13969,0.6534003865702627,0.4902462595747727,0.5291411140541358,0.03851772167328041,0.26215190779583364
7,8,3770,13951,0.6541335149212721,0.49237450123049725,0.5305553564459736,0.038451181451683206,0.26227510572718804
