,Active Learning Iteration,Labeled Database Size,Unlabeled Database Size,Precision (Tag),Recall (Tag),F1 Score (Tag),Hamming Loss,Accuracy (Tag List)
0,1,1452,5804,0.4026389846083161,0.36057029634734666,0.36621869974730065,0.06015745109473573,0.24190213645761544
1,2,2515,4741,0.4273008507347254,0.3826724319763763,0.3912114181255712,0.05699057323187254,0.2796878295718203
2,3,2856,4400,0.43,0.3879734848484848,0.39509090909090905,0.056293706293706294,0.28295454545454546
3,4,3002,4254,0.4334743770568876,0.3930222535652719,0.3996944052656323,0.05582980724024448,0.28890456041372825
4,5,3061,4195,0.4309495431068732,0.3898490266189909,0.39686928883591577,0.05593655450628037,0.28772348033373063
5,6,3098,4158,0.43314093314093316,0.39015151515151514,0.3980920314253647,0.055814555814555813,0.28884078884078884
6,7,3122,4134,0.4313417190775681,0.3902797935816804,0.3972826963393001,0.05595251386252838,0.2880986937590711
7,8,3140,4116,0.43209426627793973,0.3878968253968254,0.3965743440233236,0.055944905434701354,0.2891156462585034
