,Active Learning Iteration,Labeled Database Size,Unlabeled Database Size,Precision (Tag),Recall (Tag),F1 Score (Tag),Hamming Loss,Accuracy (Tag List)
0,1,1452,5804,0.38100160808637723,0.337942223753733,0.34444635883298874,0.06162858506070084,0.22191592005513439
1,2,6319,939,0.5725949591764289,0.5228966986155484,0.5327298544550941,0.043663471778487756,0.4185303514376997
2,3,6756,503,0.7229953611663352,0.6722995361166335,0.6844267726971504,0.030279859305704235,0.584493041749503
3,4,6794,466,0.7514306151645207,0.6999284692417739,0.7123032904148783,0.027979531198415317,0.6115879828326181
4,5,6802,458,0.7569141193595342,0.7045123726346433,0.7174672489082968,0.02737655357742694,0.6179039301310044
5,6,6806,454,0.7591776798825256,0.7063142437591776,0.7193832599118942,0.02719417146729922,0.6189427312775331
6,7,6807,453,0.7597498160412067,0.7056659308314936,0.7194996320824135,0.0271692986924775,0.6203090507726269
7,8,6808,452,0.7614306784660766,0.7072271386430677,0.7210914454277285,0.02705922396187883,0.6216814159292036
