,Active Learning Iteration,Labeled Database Size,Unlabeled Database Size,Precision (Tag),Recall (Tag),F1 Score (Tag),Hamming Loss,Accuracy (Tag List)
0,1,726,6530,0.3576314446145992,0.3235579377233282,0.32529862174578866,0.0637589822122747,0.20398162327718222
1,2,2538,4718,0.3949060336300692,0.36747562526494276,0.36655362441712586,0.058915120487820785,0.24523103009749894
2,3,2939,4317,0.40371399891900245,0.3718052660026253,0.3745038993127943,0.057750218278362825,0.26453555709983784
3,4,3111,4145,0.40804181745074386,0.3755729794933655,0.3791877764374748,0.057214438155330796,0.2757539203860072
4,5,3177,4079,0.40716678924573013,0.3748672060145461,0.3784914603252431,0.05718784770022819,0.2750674184849228
5,6,3205,4051,0.4061548588825804,0.37519542499794284,0.3780465728626677,0.05724132692782409,0.27450012342631447
6,7,3220,4036,0.40898579451602246,0.3773331681532871,0.38062438057482656,0.05697758633833956,0.2777502477700694
7,8,3229,4027,0.404850591838424,0.3720511547057363,0.37606158430593495,0.05730549559702775,0.27439781475043457
