,Active Learning Iteration,Labeled Database Size,Unlabeled Database Size,Precision (Tag),Recall (Tag),F1 Score (Tag),Hamming Loss,Accuracy (Tag List)
0,1,200,800,0.270625,0.24458333333333335,0.24629166666666666,0.07230769230769231,0.14375
1,2,559,441,0.33257747543461835,0.27985638699924414,0.29357520786092206,0.06584685156113727,0.18820861678004536
2,3,633,367,0.3492279745685741,0.29768392370572205,0.3103542234332425,0.06340389855376231,0.20435967302452315
3,4,659,341,0.36901270772238515,0.3159824046920821,0.32913000977517104,0.06439882697947213,0.21700879765395895
4,5,674,326,0.3614519427402863,0.3075153374233129,0.3217791411042944,0.06478527607361963,0.21779141104294478
5,6,687,313,0.365814696485623,0.31389776357827476,0.326517571884984,0.0645367412140575,0.21725239616613418
6,7,689,311,0.36977491961414793,0.317524115755627,0.33076098606645227,0.06405144694533763,0.22508038585209003
7,8,691,309,0.366235167206041,0.3179611650485437,0.3292340884573894,0.06446601941747573,0.22653721682847897
